PLOTTITLE[average salary for woman], XLEAST[2000], SLOPEY[10], YUNIT[%]	The average salary for woman has grown since 2000 by at least 10 %
PLOTTITLE[minority representation in lybian parliament], XSTART[from], XHIGHEST[1990], XEND[-], XFIFTH[2019], YHIGHESTAPPROX[14], YUNIT[%], XHIGHEST[1990-94], XSECOND[95-99], YSECOND[12], YUNIT[%], YTHIRDAPPROX[8], YUNIT[%], XTHIRD[2000-2004], YFOURTHAPPROX[8], YUNIT[%], XFOURTH[2005-2009], YLEASTAPPROX[6], YUNIT[%], XLEAST[2010-2014], XFIFTH[2015-2019], YFIFTH[7], YUNIT[%]	This chart shows the minority representation in lybian parliament from 1990 - 2019 . The highest is 14 % in 1990-94 , followed by 95-99 at 12 % then just over 8 % in 2000-2004 , 8 % in 2005-2009 , a drop to 6 % in 2010-2014 then up again in 2015-2019 to about 7 % .
PLOTTITLE[gender pay gap in 2017], XHIGHEST[Germany's], YLABEL[gender pay gap], YHIGHEST[21], YUNIT[%], XSECOND[UK], ADDSECONDHIGHEST[1], YUNIT[%], YSECOND[20.5], YUNIT[%], XLEAST[Spain], YLABEL[gender pay gap], YLEASTAPPROX[15], YUNIT[%]	This chart represents the gender pay gap in 2017 . Germany's gender pay gap is 21 % , whilst the UK settles 1 % below at 20.5 % . Overall Spain is seen to have the lowest gender pay gap at 15 % .
PLOTTITLE[study choices of Lagos State University students], YHIGHEST[31], YUNIT[%], T1AY[students], XHIGHEST[Medicine], XSECOND[Philosophy], T1AY[students], YSECOND[30], YUNIT[%], YTHIRD[24], YUNIT[%], T1AY[students], XTHIRD[Literature], YLEAST[15], YUNIT[%], XLEAST[STEM], T1AY[students]	This chart shows the study choices of Lagos State University students . \\n \\n 31 % of students study Medicine , closely followed by Philosophy students at 30 % . \\n 24 % of students study Literature , and 15 % are STEM students .
PLOTTITLE[what causes obesity], XLABEL[factor], T1AX[someone becoming obese], YHIGHEST[60], YUNIT[%], XHIGHEST[Fast food], YSECOND[30], YUNIT[%], XSECOND[Genetic], YLEAST[10], YUNIT[%], XLEAST[Lack of Exercises]	This graph shows what causes obesity or is a factor in someone becoming obese . 60 % Fast food \\n 30 % Genetic \\n 10 % Lack of Exercises
PLOTTITLE[money spent on higher education in 2010], XLABEL[continents], YUNIT[$], YSECOND[200], YMAG[Million], XSECOND[North America], YUNIT[$], YTHIRD[100], YMAG[Million], XTHIRD[Europe], YUNIT[$], YHIGHEST[320], YMAG[Million], XHIGHEST[Asia], YUNIT[$], YLEAST[50], YMAG[Million], XLEAST[Africa]	This shows the money spent on higher education in 2010 by different continents , despite the title at the bottom saying countries . \\n \\n $ 200 Million - North America \\n $ 100 Million - Europe \\n $ 320 Million - Asia \\n $ 50 Million - Africa
PLOTTITLE[how young people in Zarqa spend their evenings], YLEAST[12], YUNIT[%], T1AY[people], XLEAST[watch TV], YSECOND[32], YUNIT[%], XSECOND[spend time with their family], YHIGHESTAPPROX[35], YUNIT[%], T0AY[participants], XHIGHEST[read a book], YTHIRDAPPROX[17], YUNIT[%], YLABEL[people surveyed], XTHIRD[went out]	This chart shows how young people in Zarqa spend their evenings . Approximately 12 % of people watch TV , 32 % spend time with their family and 35 % of participants read a book . About 17 % of people surveyed went out .
PLOTTITLE[women's representation in different sectors], XHIGHEST[Law firms], YLABEL[number of women employed], YHIGHEST[60], YUNIT[%], XLEAST[tech], YLEAST[20], YUNIT[%], T1AY[women]	This chart displays information of women's representation in different sectors . Law firms have the highest number of women employed with 60 % and tech has the lowest with 20 % of women .
PLOTTITLE[closing stock price by days of the week], YLABEL[stock price], XHIGHEST[mid-week], XHIGHEST[Wednesday], XLEAST[Friday], YLABEL[stock price]	The chart shows the closing stock price by days of the week . The stock price is highest mid-week on Wednesday and Friday is where the stock price is the lowest .
PLOTTITLE[how young people spend their evenings], T1AY[young people], YHIGHEST[40], YUNIT[%], XHIGHEST[watching television], XSECOND[going out], YSECOND[30], YUNIT[%], XTHIRD[spending time with family], YTHIRD[20], YUNIT[%], XLEAST[reading], YLEAST[10], YUNIT[%]	this graph shows how young people spend their evenings , most young people ( 40 % ) choose watching television , followed by going out ( 30 % ) , spending time with family ( 20 % ) or reading ( 10 % ) . reading may be the least poplar as it is considered a older hobby and a more feminine hobby .
YLABEL[Minority representation], T1AB[Parliament of lybia], XSTART[between], XLABEL[years], XLEAST[1990], XEND[and], XHIGHEST[2019], XLEAST[between 1990 and 1994], YLEASTAPPROX[0.4], YUNIT[%], XHIGHEST[years 2015 and 2019], YHIGHEST[14], YUNIT[%]	Minority representation in the Parliament of lybia has steadily increased between the years 1990 and 2019 . between 1990 and 1994 it was approximately 0.4 % and in the years 2015 and 2019 it was approximately 14 % .
PLOTTITLE[representation of minority groups in Lybian Parliament], INTERVAL[30], XLABEL[years], INTERVAL[30], XLABEL[years], YLABEL[representation], YLEAST[0.5], YUNIT[%], XEND[to], YHIGHESTAPPROX[15], YUNIT[%], XHIGHEST[2019], XLEAST[Between 1990-1994 parliament], XFIFTH[1995-1999 parliament], YLABEL[representation], YLEAST[0.5], YUNIT[%], YFIFTHAPPROX[2], YUNIT[%], MULSECONDLEAST[quadruple], XFIFTH[between 1995-1999], XFOURTH[2000-2004 terms], YFIFTHAPPROX[2], YUNIT[%], YFOURTH[7.5], YUNIT[%], GRHIGHESTSECONDTHIRD[Thereafter], SLOPEX[each term], SLOPEY[2.5], YUNIT[%], ADDHIGHESTSECOND[1.5], YUNIT[%], XHIGHEST[most recent change], YLABEL[representation]	This graph shows the representation of minority groups in Lybian Parliament over the last 30 years . \\n Over the period of 30 years representation has increased from 0.5 % up to 15 % in 2019 . \\n Between 1990-1994 parliament to the 1995-1999 parliament the representation increased from 0.5 % to just over 2 % , more than than quadruple . \\n The biggest increase was seen between 1995-1999 and the 2000-2004 terms , from 2 % up to 7.5 % . Thereafter a steady increase has been seen each term of around 2.5 % , with a slowing down of this to 1.5 % in the most recent change of representation .
PLOTTITLE[women representation in Benoni], XLABEL[sector], YLABEL[representation], XHIGHEST[Insurance group], YHIGHESTAPPROX[64], YUNIT[%], XLEAST[Law Firms sector], YLEASTAPPROX[36], YUNIT[%], XSECOND[tech sector], YLABEL[representation], YSECOND[62], YUNIT[%], XTHIRD[Financial groups], YTHIRD[50], YUNIT[%]	The women representation in Benoni varies according to the sector . The highest representation can be found in the Insurance group with a 64 % , while the lowest is in Law Firms sector with around 36 % . \\n The tech sector has a representation of around 62 % , while the Financial groups 50 % .
PLOTTITLE[average time spent on social media in Maputo by age group], XLABEL[age group], XHIGHEST[15-24], YLABEL[time], YHIGHESTAPPROX[180], YUNIT[mins], XLABEL[age group], XSECOND[25-34], YLABEL[amount], YSECONDAPPROX[160], YUNIT[mins], XTHIRD[35-44], XLABEL[age group], YTHIRDAPPROX[120], YUNIT[mins], XFOURTH[between 45-54 years old], YLABEL[time], YFOURTHAPPROX[100], YUNIT[mins], XLABEL[age group], XLEAST[55-65], YLABEL[amount of time], T1AY[average], YLEASTAPPROX[70], YUNIT[mins], T1AY[day]	This chart shows the average time spent on social media in Maputo by age group . \\n The age group 15-24 shows the most time spent at about 180 mins . The second age group of 25-34 shows a slightly lesser amount of approximately 160 mins . People in the 35-44 age group spend about 120 mins . Those that are between 45-54 years old spend even less time which is just under 100 mins . However the age group of 55-65 show the lowest amount of time spent with the average of about 70 mins a day .
PLOTTITLE[average time spent on social media daily in Maputo by age group], XSECOND[15 to 24 years olds], YSECONDAPPROX[124], YUNIT[minutes], T1AY[average], XFOURTH[25 to 34 year olds], YFOURTHAPPROX[72], YUNIT[minutes], XLEAST[35 to 44 year olds], YLEASTAPPROX[68], YUNIT[minutes], XHIGHEST[45 to 54 year olds], YHIGHESTAPPROX[148], YUNIT[minutes], XTHIRD[55 to 64 year olds], YTHIRDAPPROX[108], YUNIT[minutes], XLABEL[Age group], XHIGHEST[45 to 54 years], YLABEL[time], T1AY[social media]	This chart conveys the average time spent on social media daily in Maputo by age group . 15 to 24 years olds spend 124 minutes on average , 25 to 34 year olds spend 72 minutes , 35 to 44 year olds spend 68 minutes , 45 to 54 year olds spend 148 minutes and 55 to 64 year olds spend 108 minutes . \\n Age group 45 to 54 years spend the most time on social media .
PLOTTITLE[proportion of women employed across different work sectors in Benoni], YTHIRD[equal representation], XTHIRD[financial groups], YLABEL[proportion of women employed], XSECOND[Tech], XHIGHEST[Insurance sectors], T1AY[Women], XLEAST[Law industry]	This chart represents the proportion of women employed across different work sectors in Benoni . \\n \\n There is equal representation in financial groups , with a higher proportion of women employed in Tech and Insurance sectors . \\n \\n Women appear to be under represented in the Law industry .
PLOTTITLE[what students choose to study], XHIGHEST[stem], YHIGHEST[50], YUNIT[%], GRSECONDTHIRD[medicine and literature], GRYSECONDTHIRD[20], YUNIT[%], XLEAST[philosophy], YLEAST[10], YUNIT[%]	this graph shows what students choose to study , most popular is stem with 50 % , followed by medicine and literature with 20 % and philosophy with 10 % . this may be reflective of students opting to choose to study fields with future job prospects
YLABEL[percentage of minority representation], T1AB[parliament of Lybia], XSTART[from], XLEAST[1990], XEND[to], XHIGHEST[2019], YLABEL[It], YLEAST[2], YUNIT[%], XLEAST[1990-1994], YHIGHEST[14], YUNIT[%], XHIGHEST[2015-2019]	This chart shows that there has been an increase in the percentage of minority representation in the parliament of Lybia from 1990 to 2019 . \\n \\n It has increased from < 2 % in 1990-1994 to 14 % in 2015-2019 .
PLOTTITLE[what students at lagos state university choose to study], GRHIGHESTSECOND[medicine and philosophy], XLABEL[choice], GRYHIGHESTSECOND[30], YUNIT[%], XLEAST[STEM], YLEAST[15], YUNIT[%]	this chart shows what students at lagos state university choose to study . medicine and philosophy are the most popular choice at around 30 % , STEM the least popular at 15 % .
XHIGHEST[Literature], YLABEL[women representation], XLABEL[university departments], YHIGHEST[70], YUNIT[%], XLEAST[maths], YLEAST[10], YUNIT[%], XSECOND[Arts], YSECOND[60], YUNIT[%], XTHIRD[engineering], XFOURTH[PC science], YTHIRD[30], YFOURTH[20], YUNIT[%]	Literature has the highest women representation in university departments with 70 % however maths has only 10 % , a rather large difference . Arts follows closely behind with 60 % but engineering and PC science are even lower again at 30 and 20 % .
PLOTTITLE[activities young people undertake in the evenings], T1AY[young people], T1AX[evenings], XHIGHEST[watching tv], YHIGHEST[40], YUNIT[%], XLABEL[activity], XSECOND[going out], YSECOND[30], YUNIT[%], XTHIRD[spending time with family], YTHIRD[20], YUNIT[%], YLEAST[10], YUNIT[%], T1AY[young people], XLEAST[read books], T1AX[evening]	This graph shows the activities young people undertake in the evenings . Most young people spend their evenings watching tv this accounts for 40 % . The next activity is going out with 30 % , then spending time with family at 20 % and lastly only 10 % of young people read books in the evening . The lack of book reading is probably due to more technology being ready accessible
PLOTTITLE[minority representation of parliament of Lybia], XSTART[between], XHIGHEST[1990], XEND[-], XFIFTH[2019], XHIGHEST[1990], INTERVAL[5], XLABEL[year block], XFIFTH[2015], XFIFTH[From 2015-2019], YLABEL[percentage of minority representation]	This bar chart is a minority representation of parliament of Lybia between 1990 - 2019 . \\n In 1990 it was at its highest peak , which every 5 year block it deteriorated until 2015 . From 2015-2019 for the first time it rose again gaining a higher percentage of minority representation .
XHIGHEST[UK], YLABEL[gender pay gap], MULHIGHESTLEAST[double], XLEAST[Germany]	The UK has the highest gender pay gap which is more than double the lowest of Germany
XLABEL[cause of obesity], T1AB[Kiribati], XHIGHEST[genetic tendencies], YHIGHESTAPPROX[40], YUNIT[%], XSECOND[Lack of exercise], YSECONDAPPROX[35], YUNIT[%], XLEAST[fast food], YLEASTAPPROX[25], YUNIT[%]	The biggest cause of obesity in Kiribati is genetic tendencies , accounting for 40 % . Lack of exercise is 35 % and fast food 25 % .
XHIGHEST[America], YLABEL[number], T1AY[top universities], XSECOND[europe]	America has the highest number of top universities followed by europe
YLABEL[percentage of women], XHIGHEST[Engineering], YHIGHEST[70], YUNIT[%], YTHIRD[55], YUNIT[%], XTHIRD[Mathematics], YSECOND[60], YUNIT[%], YLABEL[women are represented], XSECOND[Computer Science], GRYFOURTHLEAST[40], YUNIT[%], GRFOURTHLEAST[Arts and Literatur]	this graph shows that the percentage of women entering Engineering is at almost 70 % compared to only 55 % entering Mathematics . Almost 60 % of women are represented in Computer Science compared to less than 40 % in both Arts and Literatur .
YLABEL[percentage], T1AY[young people], XHIGHEST[watch TV], YHIGHEST[40], YUNIT[%], YSECOND[30], YUNIT[%], XSECOND[go out], T1AX[evening], YTHIRD[20], YUNIT[%], XTHIRD[spend time with their family], MULTHIRDHIGHEST[half], XHIGHEST[watching TV], YLEAST[10], YUNIT[%], XLEAST[read a book]	A high percentage of young people watch TV ( 40 % ) ; this figure presumably applies to pre-internet days . 30 % go out for the evening . 20 % spend time with their family , exactly half of those watching TV , so they are not watching TV with their families in this case . 10 % read a book .
XHIGHEST[Fast food], YHIGHEST[60], YUNIT[%], T1AY[obesity], XSECOND[genetic predisposition], YSECOND[30], YUNIT[%], XLEAST[lack of exercise], YLEAST[10], YUNIT[%]	Fast food causes 60 % of obesity , genetic predisposition some 30 % whilst lack of exercise contributes the other 10 %
PLOTTITLE[causes of obesity], YHIGHEST[60], YUNIT[%], T1AY[obesity], XHIGHEST[fast food], YSECOND[30], YUNIT[%], XSECOND[genetics], YLEAST[10], YUNIT[%], XLEAST[lack of exercise]	This graphs illustrates the causes of obesity . 60 % of obesity is caused by fast food , 30 % by genetics and 10 % by lack of exercise .
YLABEL[Minority representation], T1AB[parliament of lybia], XHIGHEST[2015-2019], YHIGHEST[14], YUNIT[%], MULFOURTHFIFTH[doubled], XFIFTH[1995], YFIFTHAPPROX[2], YUNIT[%], YFOURTHAPPROX[7], YUNIT[%], XFOURTH[2000-2004], XFOURTH[2000], SLOPEY[0.5], YUNIT[%], YLEASTAPPROX[1], YUNIT[%], XLEAST[1990], YHIGHEST[14], YUNIT[%], XHIGHEST[2015-2019]	Minority representation in the parliament of lybia is highest in 2015-2019 at over 14 % . It more than doubled from 1995 from 2 % to 7 % in 2000-2004 . \\n Year on year from 2000 it has increased on average 0.5 % from less than 1 % in 1990 to 14 % in 2015-2019
PLOTTITLE[median salary per year for software engineers with respect in their degree], XHIGHEST[Phd], YHIGHESTAPPROX[60], YMAG[,000], XSECOND[masters], YSECONDAPPROX[50], YMAG[,000], XTHIRD[bachelors], YTHIRDAPPROX[40], YMAG[,000], XLEAST[no degree], YLEASTAPPROX[30], YMAG[,000], YLABEL[wage salary]	this chart shows median salary per year for software engineers with respect in their degree , those with a Phd look to earn over 60 ,000 , followed by masters with 50 ,000 \\n bachelors with over 40 ,000 and no degree 30 ,000 . showing that evidence indicates that the higher education you have completed the higher your wage salary will be
